,0,1,2,3,4,5,6,7
0,,0,1,2,3,4,5,6
1,0.0,22,acceldata,http://acceldata.io,N,acceldata-io,30,Y
2,1.0,28,Searchlight,https://www.searchlight.ai/,N,Searchlight,30,N
3,2.0,43,Neurosity,https://www.neurosity.co/,N,neurosity,30,N
4,3.0,45,Iterative.ai,https://iterative.ai,N,iterative,30,Y
5,4.0,62,Luxonis,https://www.luxonis.com,N,luxonis,30,Y
6,5.0,91,alwaysAI,http://www.alwaysai.co/,N,alwaysai,30,N
7,6.0,102,Cape Privacy,https://capeprivacy.com/,N,capeprivacy,30,N
8,7.0,112,Sorcero,http://www.sorcero.com,N,sorcero,30,Y
9,8.0,115,Dexai Robotics,https://www.dexai.com/,N,DexaiRobotics,30,Y
10,9.0,163,Apres,http://www.apres.io,N,Apress,30,N
11,10.0,235,Ai4,https://ai4.io,N,AI4Finance-Foundation,30,N
12,11.0,241,Auxon,https://auxon.io,N,auxoncorp,30,N
13,12.0,329,Riv,https://riv.co,N,rive-app,30,N
14,13.0,403,Hypergiant,http://hypergiant.com/,N,gohypergiant,30,Y
15,14.0,490,MLCommons,https://mlcommons.org/en/,N,mlcommons,30,N
16,15.0,566,Ampsight,https://www.ampsight.com,N,ampsight,30,N
17,16.0,608,Burt Intelligence,https://www.burtcorp.com,N,burtcorp,30,N
18,17.0,613,IoT/AI,https://iot.ai,N,NVIDIA-AI-IOT,30,N
19,18.0,747,Kibernetika.AI,https://kibernetika.ai/,N,kibernetika-ai,30,N
20,19.0,836,Method Data Science,http://www.methoddatascience.com,N,methoddatascience,30,Y
21,20.0,997,Symbl.ai,https://symbl.ai,N,symblai,30,Y
22,21.0,1005,Clockwork,https://clockwork.net,N,ClockworkNet,30,N
23,22.0,1014,Blitz App,https://blitz.gg/,N,theblitzapp,30,Y
24,23.0,1036,Merico,https://meri.co,N,merico-dev,30,N
25,24.0,1041,Pixie,https://pixielabs.ai/,N,pixielabs,30,N
26,25.0,1043,Scylla,https://scylla.ai,N,scylladb,30,N
27,26.0,1049,NimbleBox.ai,https://www.nimblebox.ai,N,NimbleBoxAI,30,N
28,27.0,1065,Streamlit,https://www.streamlit.io,N,streamlit,30,N
29,28.0,1184,Poppy AI,https://www.poppy.ai/,N,poppy-project,30,N
